iter	Passed	Remaining
0	1	187
1	3	163
2	4	159
3	6	145
4	7	144
5	9	146
6	11	146
7	12	141
8	14	141
9	15	140
10	16	136
11	18	135
12	20	135
13	22	139
14	25	142
15	27	143
16	29	144
17	31	144
18	33	144
19	36	145
20	38	145
21	40	143
22	42	142
23	44	141
24	46	140
25	48	139
26	50	137
27	52	135
28	54	132
29	55	129
30	57	127
31	59	125
32	60	123
33	62	120
34	64	118
35	65	117
36	67	115
37	69	113
38	70	110
39	72	109
40	74	107
41	75	103
42	76	101
43	78	99
44	79	97
45	81	95
46	82	93
47	83	90
48	85	88
49	86	86
50	87	84
51	89	82
52	91	80
53	92	78
54	93	76
55	94	74
56	95	72
57	96	70
58	97	68
59	99	66
60	100	64
61	102	62
62	103	60
63	105	59
64	106	57
65	108	55
66	109	53
67	111	52
68	112	50
69	113	48
70	114	46
71	115	45
72	116	43
73	118	41
74	120	40
75	122	38
76	123	36
77	124	34
78	124	33
79	125	31
80	126	29
81	127	28
82	128	26
83	129	24
84	130	23
85	131	21
86	132	19
87	133	18
88	134	16
89	135	15
90	135	13
91	136	11
92	137	10
93	138	8
94	139	7
95	140	5
96	141	4
97	142	2
98	143	1
99	144	0
