iter	Passed	Remaining
0	174	174327
1	177	88381
2	179	59675
3	183	45620
4	186	37037
5	188	31293
6	191	27135
7	193	24007
8	197	21762
9	200	19834
10	202	18247
11	205	16940
12	207	15782
13	213	15050
14	216	14201
15	218	13457
16	221	12802
17	225	12297
18	228	11811
19	232	11377
20	235	10969
21	239	10638
22	242	10312
23	245	9963
24	247	9640
25	249	9338
26	251	9049
27	253	8786
28	255	8549
29	256	8307
30	258	8082
31	259	7860
32	261	7656
33	262	7462
34	263	7272
35	265	7104
36	266	6932
37	267	6767
38	268	6626
39	270	6481
40	271	6356
41	273	6229
42	274	6104
43	275	5990
44	277	5884
45	278	5777
46	279	5667
47	280	5562
48	281	5468
49	282	5373
50	284	5292
51	285	5212
52	287	5133
53	288	5055
54	289	4981
55	291	4909
56	292	4838
57	293	4771
58	295	4710
59	296	4641
60	297	4579
61	299	4523
62	300	4468
63	301	4412
64	303	4362
65	304	4310
66	305	4258
67	308	4225
68	309	4178
69	311	4134
70	312	4095
71	315	4066
72	317	4028
73	318	3988
74	320	3950
75	321	3910
76	323	3872
77	324	3833
78	325	3795
79	326	3754
80	327	3714
81	328	3680
82	329	3643
83	331	3611
84	332	3575
85	333	3541
86	334	3510
87	335	3477
88	336	3446
89	337	3414
90	338	3385
91	339	3354
92	341	3326
93	342	3297
94	343	3269
95	344	3243
96	345	3219
97	346	3192
98	348	3168
99	349	3141
100	350	3119
101	351	3093
102	352	3069
103	353	3047
104	354	3024
105	355	3001
106	357	2980
107	358	2958
108	359	2938
109	360	2919
110	362	2900
111	363	2885
112	365	2867
113	366	2851
114	368	2835
115	369	2816
116	370	2797
117	371	2779
118	373	2761
119	374	2747
120	375	2730
121	376	2711
122	377	2694
123	379	2678
124	380	2662
125	381	2648
126	382	2629
127	383	2614
128	384	2598
129	386	2583
130	387	2568
131	388	2553
132	389	2538
133	391	2528
134	392	2512
135	393	2500
136	394	2486
137	395	2471
138	396	2455
139	397	2440
140	398	2425
141	398	2408
142	399	2395
143	400	2382
144	401	2369
145	402	2357
146	404	2346
147	405	2336
148	407	2326
149	408	2313
150	409	2300
151	410	2288
152	411	2277
153	412	2265
154	413	2255
155	414	2244
156	416	2234
157	417	2223
158	418	2212
159	419	2204
160	421	2194
161	422	2184
162	423	2175
163	425	2168
164	426	2158
165	427	2148
166	428	2138
167	429	2129
168	431	2120
169	432	2112
170	433	2102
171	435	2096
172	437	2089
173	438	2083
174	440	2075
175	441	2066
176	442	2057
177	443	2048
178	444	2040
179	446	2032
180	447	2023
181	448	2014
182	449	2006
183	450	1999
184	452	1991
185	453	1983
186	454	1975
187	455	1966
188	456	1958
189	457	1950
190	458	1943
191	459	1935
192	460	1927
193	462	1920
194	463	1913
195	464	1906
196	466	1901
197	468	1895
198	469	1889
199	470	1880
200	471	1874
201	472	1865
202	473	1858
203	474	1851
204	475	1845
205	477	1838
206	477	1830
207	478	1823
208	480	1818
209	481	1812
210	483	1807
211	484	1801
212	485	1795
213	487	1788
214	487	1781
215	489	1775
216	490	1769
217	491	1763
218	492	1756
219	493	1749
220	494	1744
221	496	1739
222	497	1734
223	498	1728
224	500	1722
225	501	1717
226	502	1711
227	503	1704
228	504	1698
229	505	1692
230	506	1686
231	507	1680
232	508	1674
233	509	1668
234	511	1664
235	512	1659
236	513	1654
237	515	1649
238	516	1644
239	517	1639
240	519	1635
241	520	1629
242	521	1623
243	522	1618
244	523	1613
245	524	1607
246	526	1604
247	527	1599
248	528	1595
249	530	1590
250	531	1586
251	532	1581
252	534	1576
253	535	1571
254	536	1566
255	537	1561
256	538	1555
257	539	1550
258	540	1545
259	541	1541
260	543	1537
261	544	1533
262	545	1528
263	546	1523
264	547	1518
265	548	1514
266	549	1509
267	550	1504
268	551	1499
269	552	1494
270	553	1489
271	555	1485
272	556	1482
273	557	1477
274	558	1473
275	560	1469
276	561	1465
277	563	1462
278	565	1460
279	566	1455
280	567	1450
281	567	1446
282	568	1441
283	569	1436
284	570	1432
285	572	1429
286	573	1424
287	574	1420
288	575	1415
289	576	1410
290	577	1406
291	578	1402
292	579	1398
293	580	1394
294	582	1391
295	582	1386
296	583	1382
297	585	1378
298	586	1375
299	587	1371
300	589	1368
301	590	1364
302	591	1361
303	592	1357
304	594	1353
305	595	1349
306	596	1346
307	597	1342
308	598	1337
309	599	1334
310	600	1331
311	602	1328
312	603	1324
313	604	1320
314	605	1317
315	606	1313
316	608	1310
317	608	1306
318	610	1303
319	611	1300
320	613	1296
321	614	1294
322	615	1289
323	617	1287
324	618	1285
325	620	1282
326	621	1279
327	623	1276
328	624	1273
329	625	1270
330	626	1266
331	627	1263
332	629	1260
333	630	1256
334	631	1253
335	633	1251
336	634	1247
337	635	1243
338	636	1240
339	637	1237
340	638	1234
341	639	1231
342	640	1227
343	641	1224
344	642	1220
345	644	1217
346	645	1214
347	647	1212
348	648	1209
349	649	1206
350	650	1202
351	651	1199
352	652	1196
353	653	1193
354	655	1190
355	656	1186
356	657	1183
357	658	1180
358	658	1176
359	660	1173
360	661	1170
361	662	1168
362	664	1165
363	665	1162
364	666	1159
365	667	1155
366	668	1153
367	669	1149
368	670	1147
369	672	1144
370	673	1141
371	674	1138
372	675	1136
373	677	1133
374	678	1131
375	680	1128
376	681	1125
377	682	1122
378	683	1119
379	684	1116
380	685	1113
381	686	1110
382	687	1107
383	688	1105
384	690	1103
385	692	1101
386	694	1099
387	695	1096
388	696	1093
389	697	1090
390	698	1087
391	699	1085
392	700	1082
393	701	1079
394	703	1076
395	703	1073
396	704	1070
397	705	1067
398	706	1064
399	707	1061
400	708	1058
401	710	1056
402	710	1053
403	711	1050
404	712	1047
405	713	1044
406	714	1041
407	715	1038
408	716	1035
409	717	1033
410	719	1030
411	720	1028
412	721	1025
413	723	1023
414	724	1021
415	725	1018
416	726	1016
417	728	1013
418	728	1010
419	730	1008
420	731	1005
421	732	1003
422	733	1001
423	734	998
424	736	995
425	737	993
426	738	991
427	740	989
428	741	986
429	742	984
430	743	981
431	744	979
432	746	977
433	747	974
434	748	972
435	749	969
436	751	967
437	752	964
438	753	962
439	754	960
440	755	958
441	757	955
442	758	953
443	759	950
444	760	948
445	761	945
446	762	943
447	764	941
448	765	938
449	765	936
450	766	933
451	767	930
452	769	928
453	770	926
454	771	924
455	772	922
456	773	919
457	774	916
458	775	914
459	776	911
460	777	909
461	778	906
462	779	904
463	780	901
464	781	899
465	782	896
466	784	895
467	785	893
468	786	890
469	787	888
470	788	886
471	790	884
472	791	881
473	792	879
474	793	877
475	794	874
476	795	871
477	796	869
478	797	867
479	798	865
480	800	863
481	801	861
482	802	859
483	804	857
484	805	855
485	806	852
486	807	850
487	808	848
488	809	846
489	811	844
490	812	842
491	813	839
492	815	838
493	816	836
494	817	834
495	819	832
496	820	830
497	822	828
498	823	826
499	824	824
500	825	822
501	826	819
502	827	817
503	828	815
504	829	813
505	831	811
506	833	810
507	834	808
508	835	806
509	837	804
510	838	802
511	840	800
512	841	798
513	842	797
514	843	794
515	845	793
516	847	791
517	848	789
518	849	787
519	850	785
520	851	783
521	852	780
522	853	778
523	854	776
524	856	774
525	857	772
526	858	770
527	859	768
528	861	766
529	862	764
530	863	762
531	864	760
532	865	758
533	866	756
534	867	754
535	868	752
536	869	749
537	871	747
538	872	745
539	873	743
540	874	742
541	876	740
542	877	738
543	879	736
544	880	734
545	881	733
546	882	730
547	883	728
548	885	727
549	886	725
550	887	723
551	888	721
552	890	719
553	891	717
554	892	715
555	894	714
556	895	712
557	896	710
558	897	708
559	898	706
560	899	704
561	901	702
562	902	700
563	904	698
564	905	697
565	907	695
566	908	693
567	909	691
568	910	689
569	911	687
570	912	685
571	913	683
572	915	681
573	916	679
574	917	677
575	918	676
576	919	674
577	920	672
578	922	670
579	923	668
580	924	666
581	925	664
582	926	662
583	927	660
584	928	658
585	929	656
586	930	654
587	931	652
588	932	650
589	933	648
590	934	646
591	935	644
592	936	642
593	937	640
594	938	638
595	939	637
596	940	635
597	942	633
598	942	631
599	943	629
600	944	627
601	945	625
602	947	623
603	948	622
604	952	621
605	954	620
606	955	618
607	957	617
608	958	615
609	959	613
610	961	611
611	962	610
612	964	608
613	966	607
614	968	606
615	969	604
616	970	602
617	972	600
618	973	599
619	975	597
620	976	596
621	978	594
622	979	592
623	981	591
624	982	589
625	984	588
626	985	586
627	986	584
628	988	582
629	989	581
630	991	579
631	992	577
632	993	576
633	995	574
634	997	573
635	999	571
636	1000	570
637	1003	569
638	1004	567
639	1005	565
640	1007	564
641	1008	562
642	1009	560
643	1011	559
644	1013	557
645	1015	556
646	1016	554
647	1018	553
648	1019	551
649	1021	549
650	1022	548
651	1024	546
652	1026	545
653	1028	544
654	1030	542
655	1032	541
656	1033	539
657	1035	537
658	1036	536
659	1038	534
660	1040	533
661	1042	532
662	1044	531
663	1046	529
664	1048	527
665	1049	526
666	1050	524
667	1052	522
668	1053	521
669	1055	519
670	1056	518
671	1058	516
672	1059	514
673	1061	513
674	1062	511
675	1064	510
676	1065	508
677	1066	506
678	1068	505
679	1069	503
680	1071	502
681	1073	500
682	1076	499
683	1077	497
684	1079	496
685	1081	494
686	1082	493
687	1083	491
688	1086	490
689	1088	488
690	1090	487
691	1091	485
692	1093	484
693	1094	482
694	1095	480
695	1097	479
696	1099	477
697	1100	476
698	1101	474
699	1102	472
700	1103	470
701	1105	469
702	1106	467
703	1107	465
704	1109	464
